"SOURCE MAPPING  —  Every source question mapped to its Impactree Indicator  |  Filter by Standard, Module, or Indicator ID",,,,,,
Impactree ID,Module,Indicator,Source Standard,Source Question ID,Source Question Text,Source Section / Module
IMP-M14-I05,Labor & Human Rights,Parental Leave & Return to Work,BRSR,BRSR-5,Details on assessment of value chain partners:,Section C: Principle-wise Performance > Principle 3
IMP-M14-I11,Labor & Human Rights,Human Rights Grievances & Complaints,BRSR,BRSR-5,Describe the internal mechanisms in place to redress grievances related to human rights,Section C: Principle-wise Performance > Principle 5
IMP-M14-I11,Labor & Human Rights,Human Rights Grievances & Complaints,BRSR,BRSR-5,Provide details of any corrective actions taken or underway to address significant risks /,Section C: Principle-wise Performance > Principle 5
IMP-M09-I01,Air Quality,NOx Emissions,BRSR,BRSR-5,"Please provide details of air emissions (other than GHG emissions) by the entity, in the",Section C: Principle-wise Performance > Principle 6
IMP-M09-I01,Air Quality,NOx Emissions,BRSR,BRSR-5,With respect to the ecologically sensitive areas reported at Question 10 of Essential,Section C: Principle-wise Performance > Principle 6
IMP-M18-I01,Community & Social Impact,Social Impact Assessments,BRSR,BRSR-5,"Details of corrective actions taken or underway, based on any adverse order in",Section C: Principle-wise Performance > Principle 8
IMP-M19-I06,Customer & Product Responsibility,Data Privacy & Cybersecurity,BRSR,BRSR-5,Does the entity have a framework/ policy on cyber security and risks related to data,Section C: Principle-wise Performance > Principle 9
IMP-M19-I06,Customer & Product Responsibility,Data Privacy & Cybersecurity,BRSR,BRSR-5,Provide the following information relating to data breaches:,Section C: Principle-wise Performance > Principle 9
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-6,Total workers,Section A: General Disclosures
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,BRSR,BRSR-6,Total differently,Section A: General Disclosures
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking",BRSR,BRSR-6,Performance of the entity against the,Section B: Management & Process Disclosures
IMP-M03-I04,Governance & Ethics,Conflicts of Interest,BRSR,BRSR-6,Details of complaints with regard to conflict of interest:,Section C: Principle-wise Performance > Principle 1
IMP-M03-I08,Governance & Ethics,Grievance & Whistleblower Mechanisms,BRSR,BRSR-6,Is there a mechanism available to receive and redress grievances for the following,Section C: Principle-wise Performance > Principle 3
IMP-M03-I08,Governance & Ethics,Grievance & Whistleblower Mechanisms,BRSR,BRSR-6,Provide details of any corrective actions taken or underway to address significant risks /,Section C: Principle-wise Performance > Principle 3
IMP-M14-I11,Labor & Human Rights,Human Rights Grievances & Complaints,BRSR,BRSR-6,Number of Complaints on the following made by employees and workers:,Section C: Principle-wise Performance > Principle 5
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,BRSR,BRSR-6,Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions) & its,Section C: Principle-wise Performance > Principle 6
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,BRSR,BRSR-6,If the entity has undertaken any specific initiatives or used innovative technology or,Section C: Principle-wise Performance > Principle 6
IMP-M18-I04,Community & Social Impact,CSR Expenditure & Projects,BRSR,BRSR-6,Details of beneficiaries of CSR Projects:,Section C: Principle-wise Performance > Principle 8
IMP-M19-I03,Customer & Product Responsibility,Responsible Marketing & Advertising,BRSR,BRSR-6,Provide details of any corrective actions taken or underway on issues relating to,Section C: Principle-wise Performance > Principle 9
IMP-M03-I01,Governance & Ethics,Board Oversight of ESG,BRSR,BRSR-7,"Statement by director responsible for the business responsibility report, highlighting ESG",Section B: Management & Process Disclosures
IMP-M03-I09,Governance & Ethics,Regulatory Penalties & Legal Actions,BRSR,BRSR-7,Provide details of any corrective action taken or underway on issues related to fines /,Section C: Principle-wise Performance > Principle 1
IMP-M14-I06,Labor & Human Rights,Freedom of Association & Collective Bargaining,BRSR,BRSR-7,Membership of employees and worker in association(s) or Unions recognised by the,Section C: Principle-wise Performance > Principle 3
IMP-M14-I11,Labor & Human Rights,Human Rights Grievances & Complaints,BRSR,BRSR-7,Mechanisms to prevent adverse consequences to the complainant in discrimination and,Section C: Principle-wise Performance > Principle 5
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,BRSR,BRSR-7,"Does the entity have any project related to reducing Green House Gas emission? If Yes,",Section C: Principle-wise Performance > Principle 6
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,BRSR,BRSR-7,Does the entity have a business continuity and disaster management plan? Give details in,Section C: Principle-wise Performance > Principle 6
IMP-M03-I02,Governance & Ethics,Management Responsibility for ESG,BRSR,BRSR-8,Details of the highest authority responsible,Section B: Management & Process Disclosures
IMP-M17-I02,Training & Skill Development,Health & Safety Training,BRSR,BRSR-8,Details of training given to employees and workers:,Section C: Principle-wise Performance > Principle 3
IMP-M13-I05,Supply Chain & Procurement,Human Rights in Business Agreements,BRSR,BRSR-8,Do human rights requirements form part of your business agreements and contracts?,Section C: Principle-wise Performance > Principle 5
IMP-M08-I01,Waste & Materials,Total Waste Generated,BRSR,BRSR-8,"Provide details related to waste management by the entity, in the following format:",Section C: Principle-wise Performance > Principle 6
IMP-M08-I01,Waste & Materials,Total Waste Generated,BRSR,BRSR-8,"Disclose any significant adverse impact to the environment, arising from the value chain of",Section C: Principle-wise Performance > Principle 6
IMP-M01-I04,General & Organizational Profile,Reporting Scope & Boundary,BRSR,BRSR-9,Financial year for which reporting is being done,Section A: General Disclosures
IMP-M03-I01,Governance & Ethics,Board Oversight of ESG,BRSR,BRSR-9,Does the entity have a specified,Section B: Management & Process Disclosures
IMP-M16-I06,"Diversity, Equity & Inclusion",Performance & Career Development Reviews,BRSR,BRSR-9,Details of performance and career development reviews of employees and worker:,Section C: Principle-wise Performance > Principle 3
IMP-M14-I07,Labor & Human Rights,Child Labor,BRSR,BRSR-9,Assessments for the year:,Section C: Principle-wise Performance > Principle 5
IMP-M08-I04,Waste & Materials,Hazardous Waste Management,BRSR,BRSR-9,Briefly describe the waste management practices adopted in your establishments. Describe,Section C: Principle-wise Performance > Principle 6
IMP-M08-I04,Waste & Materials,Hazardous Waste Management,BRSR,BRSR-9,Percentage of value chain partners (by value of business done with such partners) that,Section C: Principle-wise Performance > Principle 6
IMP-M01-I04,General & Organizational Profile,Reporting Scope & Boundary,CDP,CDP-1.1,In which language are you submitting your response?,Module 1: Introduction ...............................................
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,CDP,CDP-1.10,"Which activities does your organization undertake, and which industry sectors does your organization lend",Module 1: Introduction ...............................................
IMP-M04-I01,Risk & Opportunity Management,Risk & Opportunity Identification Process,CDP,CDP-1.11,"Are greenhouse gas emissions and/or water-related impacts from the production,",Module 1: Introduction ...............................................
IMP-M04-I01,Risk & Opportunity Management,Risk & Opportunity Identification Process,CDP,CDP-1.12,Which part of the concrete value chain does your organization operate in?,Module 1: Introduction ...............................................
IMP-M01-I03,General & Organizational Profile,Operational Footprint,CDP,CDP-1.13,In which part of the coal value chain does your organization operate?,Module 1: Introduction ...............................................
IMP-M04-I01,Risk & Opportunity Management,Risk & Opportunity Identification Process,CDP,CDP-1.14,In which part of the chemicals value chain does your organization operate?,Module 1: Introduction ...............................................
IMP-M04-I05,Risk & Opportunity Management,Scenario Analysis,CDP,CDP-1.15,Which real estate and/or construction activities does your organization engage in?,Module 1: Introduction ...............................................
IMP-M04-I05,Risk & Opportunity Management,Scenario Analysis,CDP,CDP-1.16,In which part of the electric utilities value chain does your organization operate?,Module 1: Introduction ...............................................
IMP-M04-I05,Risk & Opportunity Management,Scenario Analysis,CDP,CDP-1.16.1,"For your electricity generation activities, provide details of your nameplate capacity and electricity",Module 1: Introduction ...............................................
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,CDP,CDP-1.17,In which part of the metals and mining value chain does your organization operate?,Module 1: Introduction ...............................................
IMP-M04-I03,Risk & Opportunity Management,Nature & Biodiversity-Related Risks,CDP,CDP-1.18,"Provide details on the mining projects covered by this disclosure, by specifying your project(s) type, location",Module 1: Introduction ...............................................
IMP-M04-I04,Risk & Opportunity Management,Water-Related Risks,CDP,CDP-1.19,In which part of the oil and gas value chain does your organization operate?,Module 1: Introduction ...............................................
IMP-M01-I04,General & Organizational Profile,Reporting Scope & Boundary,CDP,CDP-1.2,Select the currency used for all financial information disclosed throughout your response.,Module 1: Introduction ...............................................
